city,county,place_fips,metro_status,population,property_tax,gen_sales_tax,total_taxes,tax_per_capita,lt_debt_os,st_debt_os,total_debt_os,debt_per_capita,sales_tax_rate,taxable_sales,taxable_sales_per_capita,business_outlets,sales_tax_alloc_2019,sales_tax_alloc_2023,salestax_growth_19_23_pct
LUBBOCK,Lubbock,45000,Metro,262611,105805000.0,90000000.0,238005000.0,906.3024778093835,1373684000.0,0.0,1373684000.0,5230.869994021576,1.5,10715921438.0,40805.30304518851,67150.0,75808616.84,101944312.92,34.475890959943804
IRVING,Dallas,37000,Metro,240916,187396000.0,90023000.0,316771000.0,1314.8607813511765,709195000.0,0.0,709195000.0,2943.7438775340784,1.0,17757981318.0,73710.26132759966,59582.0,76085295.56,106486047.9,39.95614673800711
GARLAND,Dallas,29000,Metro,238139,133820000.0,42700000.0,192551000.0,808.5655856453584,1267545000.0,57500000.0,1325045000.0,5564.166306232914,1.0,6081466487.0,25537.46545924859,48894.0,29561151.47,47257688.15,59.86416563630564
FRISCO,Collin,27684,Metro,209980,152247000.0,109939000.0,289296000.0,1377.7312124964283,794185000.0,0.0,794185000.0,3782.1935422421184,2.0,10395742740.0,49508.25192875512,59742.0,90036000.23,136588801.01,51.704652206983084
MCKINNEY,Collin,45744,Metro,208272,128547000.0,71553000.0,223602000.0,1073.6056695091036,557471000.0,0.0,557471000.0,2676.648805408312,2.0,5707008126.0,27401.706067066145,45718.0,57325725.51,89193731.55,55.591108104581934
AMARILLO,Potter,03000,Metro,199654,57595000.0,90009000.0,233219000.0,1168.1158404038988,502149000.0,0.0,502149000.0,2515.0961162811664,2.0,7993646610.0,40037.49792140403,54240.0,78934689.09,100432055.47,27.234371387070468
GRAND PRAIRIE,Dallas,30464,Metro,195272,113825000.0,80188000.0,214680000.0,1099.389569421115,535045000.0,0.0,535045000.0,2739.998566102667,1.75,7504855501.0,38432.829596665164,41626.0,62067612.67,84189163.75,35.641053567849426
BROWNSVILLE,Cameron,10768,Metro,183428,51981000.0,36628000.0,97439000.0,531.211156421048,449125000.0,70360000.0,519485000.0,2832.0921560503302,2.0,4143945663.0,22591.674460823866,41622.0,40414677.16,58136168.47,43.849147278453735
KILLEEN,Bell,39148,Metro,153991,50655000.0,31528000.0,92735000.0,602.2105187965531,208355000.0,0.0,208355000.0,1353.0336188478548,1.5,3124510451.0,20290.214694365255,26404.0,24865813.57,34773317.37,39.84387549640909
PASADENA,Harris,56000,Metro,149440,59752000.0,39899000.0,135232000.0,904.9250535331906,233235000.0,0.0,233235000.0,1560.7267130620985,1.5,4429354607.0,29639.685539346894,27876.0,36248132.66,43929245.77,21.19036912065861
DENTON,Denton,19972,Metro,147515,81027000.0,45405000.0,167694000.0,1136.7928685218453,1827392000.0,5678000.0,1833070000.0,12426.329525810934,1.5,5334774622.0,36164.285815001866,32668.0,36414048.59,53435232.23,46.74345286800748
MIDLAND,Midland,48072,Metro,147069,61553000.0,58044000.0,140819000.0,957.5029407964969,255592000.0,0.0,255592000.0,1737.905336950683,1.25,10215469324.0,69460.38474457567,47200.0,75779196.22,85984397.38,13.467022176340521
MCALLEN,Hidalgo,45384,Metro,143751,52359000.0,78368000.0,148654000.0,1034.1075888167734,59553000.0,0.0,59553000.0,414.27885719055865,2.0,7748357566.0,53901.24288526688,46240.0,69397123.72,93702711.74,35.02391268846667
WACO,Mclennan,76000,Metro,141377,96323000.0,48720000.0,169144000.0,1196.4039412351372,1871350000.0,0.0,1871350000.0,13236.59435410286,1.5,5239042155.0,37057.245202543556,37624.0,40654801.28,55868334.83,37.421246866318455
CARROLLTON,Dallas,13024,Metro,139892,92796000.0,45941000.0,154977000.0,1107.8331856003203,200755000.0,0.0,200755000.0,1435.0713407485775,1.0,8485656085.0,60658.62297343665,42894.0,40266285.61,49850549.09,23.80220408911962
MESQUITE,Dallas,47892,Metro,138916,63564000.0,49246000.0,128597000.0,925.7176999049785,266185000.0,0.0,266185000.0,1916.1579659650436,2.0,4338505013.0,31231.1397751159,26848.0,44679292.14,61954262.77,38.6643785131373
ROUND ROCK,Williamson,63500,Metro,137575,54555000.0,91954000.0,176062000.0,1279.7528620752316,0.0,0.0,0.0,0.0,2.0,10436310036.0,75859.05895693258,35826.0,87293805.58,118640963.2,35.90994505477488
ODESSA,Ector,53388,Metro,125413,44051000.0,64144000.0,131001000.0,1044.556784384394,162790000.0,0.0,162790000.0,1298.0313045697017,1.25,7966509664.0,63522.19996332119,36130.0,73287319.1,72362126.26,-1.2624187258611137
ABILENE,Taylor,01000,Metro,124407,54190000.0,52746000.0,120776000.0,970.8135394310609,201165000.0,0.0,201165000.0,1616.9910053292822,2.0,4489574064.0,36087.7930020015,31064.0,47370912.74,61478703.02,29.78154623583468
